,table_no,累計スタート,大当り回数,初当り回数,最高出玉,大当り確率,初当り確率,只今スタート
0,1411,3383,51,5,48110,66,--,30
1,1412,2117,14,3,11200,151,--,1072
2,1413,2401,20,7,13220,120,--,103
3,1414,2848,26,7,24640,109,--,401
4,1415,2266,8,3,6020,283,--,830
5,1416,2164,26,3,22280,83,--,135
6,1417,2183,6,6,430,363,--,484
7,1418,2707,47,10,50390,57,--,16
8,1419,1921,4,1,5610,480,--,791
9,1420,2941,41,6,42010,71,--,308
10,1421,1994,4,4,430,498,--,809
11,1422,1475,2,2,430,737,--,741
12,1423,1927,14,3,16540,137,--,290
13,1424,1990,17,4,9350,117,--,164
14,1425,1597,8,5,4620,199,--,119
15,1426,1963,31,3,36320,63,--,663
16,1427,2488,26,8,23020,95,--,273
